ra              dec            obs_date    obs_time    exposure    exposure_times
328.6628075    49.78556658    20181011    220200    1200    3
4.899296308    35.56531795    20181011    234200    1200    3
36.05947048    -0.03568810748    20181011    252200    1200    3
59.42374071    56.20168512    20181011    270200    1200    3
60.1041679    54.29288601    20181011    284200    1200    3
295.5090365    41.25770705    20181012    184100    1200    3
301.7704891    24.87634264    20181012    202100    1200    3
328.2828891    41.11812555    20181012    220100    1200    3
346.7120663    51.84874863    20181012    234100    1200    3
14.78041102    50.68785333    20181012    252100    1200    3
51.32333097    23.64184789    20181012    270100    1200    3
65.79220278    5.181432641    20181012    284100    1200    3
299.2047035    52.86495911    20181013    184000    1200    3
306.8705122    -4.014248366    20181013    202000    1200    3
344.696321    10.28358683    20181013    220000    1200    3
345.0453496    54.76132057    20181013    234000    1200    3
14.49464696    48.20974517    20181013    252000    1200    3
59.149861    35.99908192    20181013    270000    1200    3
83.00072977    17.25512132    20181013    284000    1200    3
279.3741643    -6.173998147    20181014    183900    1200    3
299.585519    37.30435282    20181014    201900    1200    3
330.2748591    -9.258180343    20181014    215900    1200    3
14.02133713    36.43575677    20181014    233900    1200    3
12.17545336    11.46450722    20181014    251900    1200    3
36.84447911    -2.393951286    20181014    265900    1200    3
62.39847607    16.21230676    20181014    283900    1200    3
296.669306    7.032943805    20181015    183800    1200    3
314.3299519    0.9507382448    20181015    201800    1200    3
339.6045713    58.27102106    20181015    215800    1200    3
351.3520952    12.33814401    20181015    233800    1200    3
35.58817828    23.0482353    20181015    251800    1200    3
40.82851797    14.10304656    20181015    265800    1200    3
71.17577518    20.40846364    20181015    283800    1200    3
290.0670582    43.38475405    20181016    183700    1200    3
303.052603    55.87735107    20181016    201700    1200    3
336.36937    57.42625536    20181016    215700    1200    3
11.0532955    13.06797948    20181016    233700    1200    3
25.64651767    52.98608426    20181016    251700    1200    3
60.81982106    23.52984915    20181016    265700    1200    3
67.76997105    47.65059137    20181016    283700    1200    3
293.9228301    56.27643411    20181017    183600    1200    3
323.4582028    40.20159773    20181017    201600    1200    3
329.5911676    5.387739846    20181017    215600    1200    3
12.76145993    -2.180487224    20181017    233600    1200    3
15.93490733    35.6192756    20181017    251600    1200    3
39.98727628    55.04677567    20181017    265600    1200    3
78.03313392    29.82748122    20181017    283600    1200    3
298.940429    41.72281972    20181018    183500    1200    3
301.5785592    16.87389805    20181018    201500    1200    3
352.1776389    7.662643755    20181018    215500    1200    3
353.4092605    43.58141854    20181018    233500    1200    3
29.21780845    54.64741683    20181018    251500    1200    3
56.19753387    52.44106546    20181018    265500    1200    3
75.09067292    10.97498793    20181018    283500    1200    3
291.6958553    39.89762637    20181019    183400    1200    3
310.8328124    23.57959876    20181019    201400    1200    3
344.9694157    1.273283156    20181019    215400    1200    3
5.322400319    9.540534689    20181019    233400    1200    3
18.13107595    20.75852855    20181019    251400    1200    3
47.22737609    47.94422389    20181019    265400    1200    3
93.27915154    4.369761817    20181019    283400    1200    3
287.5903628    1.429445271    20181020    183300    1200    3
317.6408758    6.498663739    20181020    201300    1200    3
340.2426145    34.623781    20181020    215300    1200    3
358.2093571    27.38046463    20181020    233300    1200    3
42.06350859    34.29126046    20181020    251300    1200    3
50.1430437    -4.304420212    20181020    265300    1200    3
90.18817953    33.21477624    20181020    283300    1200    3
289.4689989    6.352464182    20181021    183200    1200    3
317.6129866    10.55247564    20181021    201200    1200    3
327.5621219    34.07585549    20181021    215200    1200    3
4.704499775    39.15685892    20181021    233200    1200    3
30.70341792    54.39831075    20181021    251200    1200    3
48.39489933    57.42331002    20181021    265200    1200    3
70.58115337    -1.756198444    20181021    283200    1200    3
289.6985979    36.05029939    20181022    183100    1200    3
304.1626795    43.60986097    20181022    201100    1200    3
326.8795882    25.05168047    20181022    215100    1200    3
8.07687415    51.40891541    20181022    233100    1200    3
45.14519989    -5.92440864    20181022    251100    1200    3
54.51819626    3.988840127    20181022    265100    1200    3
79.87155984    35.98078281    20181022    283100    1200    3
301.1289091    11.06766758    20181023    183000    1200    3
316.4415576    40.23525708    20181023    201000    1200    3
345.6189454    33.08355906    20181023    215000    1200    3
13.43081581    42.32206496    20181023    233000    1200    3
31.64157732    30.37257639    20181023    251000    1200    3
42.87206017    57.44323406    20181023    265000    1200    3
75.22527996    -8.017390458    20181023    283000    1200    3
284.6441052    39.91162205    20181024    182900    1200    3
318.3246577    8.485509963    20181024    200900    1200    3
349.8603704    34.42426404    20181024    214900    1200    3
354.5819145    27.82320809    20181024    232900    1200    3
28.50262699    17.15352162    20181024    250900    1200    3
66.43929253    56.43198701    20181024    264900    1200    3
70.31993958    14.53871856    20181024    282900    1200    3
300.2004092    -7.260685366    20181025    182800    1200    3
314.0029731    38.339834    20181025    200800    1200    3
329.5880725    37.82788723    20181025    214800    1200    3
