RA              DEC            OBS_DATE    OBS_TIME    EXPOSURE    EXPOSURE_TIMES    PLATECLASS
260.6906932    -4.04772859    20180923    190000    1200    3     FDP
296.8116978    17.86058717    20180923    204000    1200    3     FDP
334.8525364    46.66966574    20180923    222000    1200    3     FDP
339.7949809    57.66279543    20180923    240000    1200    7     TDP
28.82078448    57.30731767    20180923    272000    1200    3     FDP
279.4268693    19.02512052    20180924    185900    1200    3     FDP
287.2172262    28.09909612    20180924    203900    1200    8     TDP
340.001602    49.14492071    20180924    241303    1200    3     FDP
7.932955824    44.62567334    20180924    255303    1200    7     TDP
271.3512486    11.98920095    20180925    185800    1200    6     TDP
301.3599397    1.474568501    20180925    215300    1200    8     TDP
3.477888419    2.216670948    20180925    253800    1200    7     TDP
263.0467374    37.18788795    20180926    185700    1200    8     TDP
337.4691744    1.577905932    20180926    223336    1200    3     FDP
344.0004313    37.08568258    20180926    241336    1200    3     FDP
5.407217488    31.51318113    20180926    255336    1200    8     TDP
262.471517    -3.284883988    20180927    185600    1200    3     FDP
293.9596694    56.4203734    20180927    203600    1200    7     TDP
340.47643    22.58479227    20180927    235153    1200    7     TDP
41.84473638    32.3198589    20180927    271153    1200    3     FDP
283.4141735    2.155654699    20180928    185500    1200    3     FDP
291.6549351    42.7167136    20180928    203500    1200    7     TDP
1.042596513    0.3287889926    20180928    235500    1200    3     FDP
6.317459467    45.6066799    20180928    253500    1200    7     TDP
274.5251754    10.69155604    20180929    185400    1200    3     FDP
313.3336593    11.70113616    20180929    203400    1200    3     FDP
310.2431261    21.39945236    20180929    221400    1200    8     TDP
7.181877276    46.13433624    20180929    255900    1200    3     FDP
38.67195276    6.786241393    20180929    273900    1200    7     TDP
264.8979044    26.49848696    20180930    185300    1200    8     TDP
343.9751692    58.45008848    20180930    223356    1200    3     FDP
342.1920289    -6.537225787    20180930    241356    1200    3     FDP
12.14142783    46.81399473    20180930    255356    1200    3     FDP
53.00335611    18.44586478    20180930    273356    1200    3     FDP
273.325307    54.11917419    20181001    185200    1200    7     TDP
316.9059092    53.25499763    20181001    220209    1200    7     TDP
5.372446531    12.97272837    20181001    252209    1200    7     TDP
57.56240424    2.828784367    20181001    284209    1200    7     TDP
271.6401613    3.755265509    20181002    185100    1200    7     TDP
318.6297532    46.12834128    20181002    221050    1200    7     TDP
22.5211751    7.900977813    20181002    253050    1200    3     FDP
29.43512474    49.31456808    20181002    271050    1200    8     TDP
268.1775308    -9.429736063    20181003    185000    1200    8     TDP
323.408377    -0.5040088574    20181003    222637    1200    7     TDP
9.221426395    38.88723935    20181003    254637    1200    8     TDP
273.8014393    17.60749362    20181004    184900    1200    7     TDP
312.3338167    23.11837013    20181004    220603    1200    9     TDP
22.1350289    58.04760912    20181004    260601    1200    7     TDP
290.9157319    55.81403494    20181005    184800    1200    3     FDP
298.9309672    13.20720633    20181005    202800    1200    7     TDP
347.941244    21.48491869    20181005    234728    1200    7     TDP
38.80721467    42.11538235    20181005    270728    1200    7     TDP
292.6785475    -8.726144871    20181006    184700    1200    3     FDP
299.6695958    16.46311247    20181006    202700    1200    7     TDP
1.209393648    44.89317323    20181006    234627    1200    3     FDP
7.953575226    12.50600718    20181006    252627    1200    8     TDP
273.9393171    4.834612097    20181007    184600    1200    7     TDP
319.2698136    42.69711631    20181007    220600    1200    3     FDP
344.8344993    16.63184539    20181007    234600    1200    8     TDP
59.17946106    35.13593095    20181007    272743    1200    3     FDP
275.5104015    26.70666593    20181008    184500    1200    7     TDP
336.410632    34.76972407    20181008    220500    1200    3     FDP
344.9427776    17.95842239    20181008    234500    1200    8     TDP
55.78552017    50.47306256    20181008    272913    1200    3     FDP
295.7284946    33.82241333    20181009    184400    1200    3     FDP
301.0485823    33.08244667    20181009    202400    1200    7     TDP
354.7084899    1.115585607    20181009    234400    1200    7     TDP
33.64038324    -3.225323442    20181009    265205    1200    8     TDP
268.512879    26.0051486    20181010    184300    1200    8     TDP
352.4776372    -7.932694196    20181010    222800    1200    3     FDP
354.8027468    -9.858868483    20181010    240800    1200    8     TDP
53.64891257    4.067926797    20181010    274339    1200    7     TDP
269.9566912    33.7651822    20181011    184200    1200    8     TDP
329.6450809    36.23086871    20181011    222700    1200    3     FDP
3.857212801    2.58707941    20181011    240700    1200    3     FDP
15.31803938    20.19075152    20181011    254700    1200    3     FDP
58.98719254    -4.256836115    20181011    272700    1200    3     FDP
278.69733    49.78556658    20181012    184100    1200    7     TDP
320.821463    -5.005431122    20181012    220100    1200    8     TDP
42.73742734    56.20168512    20181012    254600    1200    3     FDP
62.34617755    -2.009974072    20181012    272600    1200    3     FDP
291.5744348    24.87634264    20181013    184000    1200    3     FDP
318.819589    53.5162897    20181013    202000    1200    3     FDP
326.8756341    50.68785333    20181013    220000    1200    7     TDP
9.897648239    43.99597129    20181013    252000    1200    9     TDP
272.9653221    52.86495911    20181014    183900    1200    3     FDP
310.2106585    1.59747324    20181014    201900    1200    6     TDP
4.097033645    54.76132057    20181014    231400    1200    3     FDP
10.8159369    2.872546557    20181014    245400    1200    3     FDP
30.78971508    17.25512132    20181014    263400    1200    3     FDP
74.27514088    50.23378901    20181014    281400    1200    3     FDP
281.0838526    -9.258180343    20181015    183800    1200    7     TDP
335.4110938    55.8572755    20181015    215800    1200    6     TDP
16.11717909    -2.393951286    20181015    245300    1200    3     FDP
35.78502407    0.4160636641    20181015    263300    1200    8     TDP
286.4961712    0.9507382448    20181016    183700    1200    6     TDP
318.3892442    47.82288905    20181016    213200    1200    8     TDP
22.19654376    23.0482353    20181016    251700    1200    3     FDP
42.76647092    36.56763569    20181016    265700    1200    8     TDP
300.8331505    43.38475405    20181017    183600    1200    3     FDP
303.4133712    26.16035883    20181017    201600    1200    3     FDP
349.5940361    13.06797948    20181017    215600    1200    3     FDP
359.6483478    4.109306414    20181017    233600    1200    7     TDP
49.75209302    47.65059137    20181017    264748    1200    6     TDP
296.3421658    -0.3358066133    20181018    183500    1200    3     FDP
300.0089432    5.387739846    20181018    201500    1200    8     TDP
22.19605705    52.21854957    20181018    240000    1200    3     FDP
28.11779359    55.04677567    20181018    254000    1200    7     TDP
300.8214408    0.2501100781    20181019    183400    1200    3     FDP
302.8515189    16.87389805    20181019    201400    1200    8     TDP
9.394691549    48.15616989    20181019    235851    1200    3     FDP
33.65939498    54.64741683    20181019    253851    1200    6     TDP
70.21457237    32.56620763    20181019    283351    1200    8     TDP
289.1912566    39.89762637    20181020    183300    1200    3     FDP
306.6721332    11.22691889    20181020    201300    1200    8     TDP
6.107226523    9.540534689    20181020    234530    1200    3     FDP
18.71251513    40.95834467    20181020    252530    1200    3     FDP
47.82333369    4.369761817    20181020    270530    1200    3     FDP
75.20369275    18.37128978    20181020    284530    1200    7     TDP
291.5535325    34.623781    20181021    183200    1200    3     FDP
320.1902896    -3.614853376    20181021    201200    1200    3     FDP
334.7936425    -4.304420212    20181021    215200    1200    7     TDP
21.99350671    27.48344691    20181021    251200    1200    8     TDP
87.96048569    10.55247564    20181021    284609    1200    3     FDP
291.0965821    26.93394497    20181022    183100    1200    3     FDP
330.162371    54.39831075    20181022    201100    1200    3     FDP
334.550701    48.22175324    20181022    215100    1200    7     TDP
39.24232137    36.05029939    20181022    251100    1200    3     FDP
54.45645918    58.56984975    20181022    265100    1200    3     FDP
67.14000767    51.40891541    20181022    283100    1200    8     TDP
285.1975534    29.07976427    20181023    183000    1200    7     TDP
331.5145002    35.98078281    20181023    215000    1200    8     TDP
33.86438791    26.30303233    20181023    253156    1200    3     FDP
58.6952044    33.08355906    20181023    271156    1200    7     TDP
306.8612732    25.83631958    20181024    182900    1200    3     FDP
303.5830231    57.44323406    20181024    200900    1200    3     FDP
342.1420089    43.87486571    20181024    214900    1200    3     FDP
2.252818486    8.485509963    20181024    232900    1200    7     TDP
61.96403968    55.68664393    20181024    264900    1200    3     FDP
81.96875912    17.15352162    20181024    282900    1200    6     TDP
282.5997954    53.96458541    20181025    182800    1200    8     TDP
355.050405    -7.260685366    20181025    221128    1200    3     FDP
25.33990439    57.38338631    20181025    235128    1200    3     FDP
26.05594359    49.32952125    20181025    253128    1200    3     FDP
57.55506212    -2.693090408    20181025    271128    1200    7     TDP
293.6919319    49.56876233    20181026    182700    1200    6     TDP
332.3355285    45.21661151    20181026    212200    1200    3     FDP
17.03776472    16.4081314    20181026    230200    1200    3     FDP
19.80163407    41.43146876    20181026    244200    1200    8     TDP
71.29339573    55.695522    20181026    281435    1200    8     TDP
301.470008    6.982763261    20181027    182600    1200    3     FDP
330.8825015    26.16237175    20181027    200600    1200    3     FDP
330.659948    6.941550434    20181027    214600    1200    3     FDP
12.58813216    57.25633304    20181027    232600    1200    3     FDP
32.88675143    9.576648907    20181027    250600    1200    7     TDP
67.86583283    43.78988535    20181027    281411    1200    8     TDP
289.4652402    5.162750843    20181028    182500    1200    3     FDP
318.392412    21.71262259    20181028    200500    1200    7     TDP
355.2872959    7.619703773    20181028    231405    1200    8     TDP
60.50622827    -9.12731296    20181028    265905    1200    3     FDP
90.31739816    -2.375755077    20181028    283905    1200    3     FDP
286.6389485    36.9089228    20181029    182400    1200    8     TDP
344.3670284    33.82856868    20181029    220302    1200    3     FDP
17.30774078    51.12512719    20181029    234302    1200    3     FDP
35.40766268    56.59081627    20181029    252302    1200    7     TDP
77.05567847    51.77279823    20181029    284302    1200    8     TDP
296.6369737    2.733391107    20181030    182300    1200    6     TDP
334.1440284    42.59981405    20181030    211800    1200    3     FDP
353.9976566    42.77230371    20181030    225800    1200    3     FDP
30.42610993    15.24926954    20181030    243800    1200    6     TDP
66.77534659    25.19660969    20181030    273300    1200    3     FDP
293.3385026    19.72191377    20181031    182200    1200    7     TDP
345.4171353    2.210496133    20181031    214006    1200    7     TDP
28.29577926    2.009642805    20181031    244759    1200    7     TDP
78.76200455    47.40757108    20181031    280759    1200    7     TDP
286.1289262    47.50430414    20181101    182100    1200    8     TDP
342.1731681    -4.031848256    20181101    220600    1200    8     TDP
42.75326296    48.82983657    20181101    255100    1200    8     TDP
288.5321176    38.69361138    20181102    182000    1200    3     FDP
323.5424812    7.277884168    20181102    200000    1200    6     TDP
357.3111157    3.102709625    20181102    225500    1200    8     TDP
59.20879918    36.34135482    20181102    263805    1200    3     FDP
77.45525346    14.64795182    20181102    281805    1200    8     TDP
286.2346394    53.35126336    20181103    181900    1200    8     TDP
2.701182979    -9.321531083    20181103    220400    1200    3     FDP
20.6072673    33.96231152    20181103    234400    1200    3     FDP
32.44223385    26.71761223    20181103    252400    1200    8     TDP
295.2279411    11.72053194    20181104    181800    1200    3     FDP
311.2126297    42.02281992    20181104    195800    1200    3     FDP
349.0455892    2.694801116    20181104    213800    1200    6     TDP
49.09332134    17.53979113    20181104    243300    1200    3     FDP
50.2799422    -9.529162099    20181104    261300    1200    8     TDP
289.442222    35.59718383    20181105    181700    1200    8     TDP
5.614627668    13.05061238    20181105    220200    1200    3     FDP
32.68702628    34.04897935    20181105    234200    1200    3     FDP
41.31796042    20.24792441    20181105    252200    1200    7     TDP
96.05341645    -5.698815892    20181105    284200    1200    3     FDP
296.347237    19.1379398    20181106    181600    1200    7     TDP
339.3624536    26.452397    20181106    213600    1200    3     FDP
3.970705819    22.85295275    20181106    231600    1200    8     TDP
72.51025184    50.54077329    20181106    270100    1200    6     TDP
298.402042    -4.124195435    20181107    181500    1200    7     TDP
345.7655269    40.03850239    20181107    213323    1200    7     TDP
51.55636534    26.82635151    20181107    245323    1200    3     FDP
56.22312247    -9.459647442    20181107    263323    1200    8     TDP
294.5380714    54.44524364    20181108    181400    1200    8     TDP
9.348015849    26.96556474    20181108    215046    1200    3     FDP
15.98589514    57.59324123    20181108    233046    1200    3     FDP
39.53597459    31.90073209    20181108    251046    1200    3     FDP
86.8070198    22.40135488    20181108    265046    1200    3     FDP
85.83548412    1.925871946    20181108    283046    1200    8     TDP
313.5214459    31.37023285    20181109    181300    1200    3     FDP
329.2761526    40.76518181    20181109    195300    1200    3     FDP
351.9250851    28.59666158    20181109    213300    1200    7     TDP
40.22653177    43.40043316    20181109    244309    1200    6     TDP
74.29684075    3.560588424    20181109    273809    1200    3     FDP
301.5220082    24.22729589    20181110    181200    1200    7     TDP
346.5518983    47.39632002    20181110    212642    1200    7     TDP
35.4266314    41.87612002    20181110    244642    1200    8     TDP
94.42042456    35.92296707    20181110    282029    1200    3     FDP
292.0044255    23.42741511    20181111    181100    1200    3     FDP
327.90415    -6.980450244    20181111    195100    1200    7     TDP
17.53827137    -9.643267899    20181111    230307    1200    3     FDP
38.06583373    59.92987234    20181111    244307    1200    7     TDP
87.48651197    6.464228682    20181111    280307    1200    7     TDP
293.2011117    28.34832019    20181112    181000    1200    8     TDP
0.2693535921    -2.400728179    20181112    215500    1200    7     TDP
40.98419918    52.05354039    20181112    250535    1200    3     FDP
