RA              DEC            OBS_DATE    OBS_TIME    EXPOSURE    EXPOSURE_TIMES    PLATECLASS
257.8453466    -4.04772859    20180923    190000    1200    8     TDP
319.6558489    17.86058717    20180923    224500    1200    7     TDP
16.17626822    46.66966574    20180923    260500    1200    6     TDP
265.5283142    57.66279543    20180924    185900    1200    7     TDP
310.1437256    57.30731767    20180924    221900    1200    8     TDP
13.16760131    19.02512052    20180924    260121    1200    7     TDP
262.9505595    28.09909612    20180925    185800    1200    8     TDP
312.857051    49.14492071    20180925    223203    1200    8     TDP
14.91628916    44.62567334    20180925    261703    1200    7     TDP
272.084582    11.98920095    20180926    185700    1200    6     TDP
302.093273    1.474568501    20180926    215200    1200    8     TDP
4.211221753    2.216670948    20180926    253700    1200    7     TDP
263.7800708    37.18788795    20180927    185600    1200    8     TDP
325.1429205    1.577905932    20180927    223236    1200    7     TDP
2.846048968    37.08568258    20180927    254021    1200    8     TDP
262.7238842    31.51318113    20180928    185500    1200    8     TDP
316.8774252    -3.284883988    20180928    223846    1200    8     TDP
21.8846694    56.4203734    20180928    262346    1200    7     TDP
267.9722634    22.58479227    20180929    185400    1200    7     TDP
319.3702849    32.3198589    20180929    221400    1200    7     TDP
11.77375344    2.155654699    20180929    253400    1200    7     TDP
268.1216018    42.7167136    20180930    185300    1200    7     TDP
323.8212983    0.3287889926    20180930    221300    1200    6     TDP
1.534126134    45.6066799    20180930    250800    1200    7     TDP
51.44592105    10.69155604    20180930    282800    1200    2     TDP
275.3334963    11.70113616    20181001    185200    1200    6     TDP
305.4597928    21.39945236    20181001    214700    1200    8     TDP
1.632605305    46.13433624    20181001    253200    1200    8     TDP
269.6219528    6.786241393    20181002    185100    1200    7     TDP
316.364571    26.49848696    20181002    221100    1200    8     TDP
21.13758461    58.45008848    20181002    255156    1200    6     TDP
263.2460144    -6.537225787    20181003    185000    1200    8     TDP
321.9707139    46.81399473    20181003    223500    1200    8     TDP
26.15167806    18.44586478    20181003    262000    1200    7     TDP
275.525307    54.11917419    20181004    184900    1200    7     TDP
319.1059092    53.25499763    20181004    215909    1200    7     TDP
7.572446531    12.97272837    20181004    251909    1200    7     TDP
59.76240424    2.828784367    20181004    283909    1200    1     TDP
273.8401613    3.755265509    20181005    184800    1200    7     TDP
320.8297532    46.12834128    20181005    220750    1200    7     TDP
14.23975422    7.900977813    20181005    252750    1200    7     TDP
56.15179141    49.31456808    20181005    284554    1200    1     TDP
270.3775308    -9.429736063    20181006    184700    1200    8     TDP
325.608377    -0.5040088574    20181006    222337    1200    7     TDP
11.4214264    38.88723935    20181006    254337    1200    8     TDP
276.0014393    17.60749362    20181007    184600    1200    7     TDP
314.5338167    23.11837013    20181007    220303    1200    9     TDP
24.3350289    58.04760912    20181007    260301    1200    7     TDP
279.5578659    55.81403494    20181008    184500    1200    6     TDP
319.8809672    13.20720633    20181008    214000    1200    7     TDP
8.89124399    21.48491869    20181008    245928    1200    7     TDP
59.75721467    42.11538235    20181008    281928    1200    2     TDP
280.8059404    -8.726144871    20181009    184400    1200    6     TDP
320.6195958    16.46311247    20181009    213900    1200    7     TDP
11.25261349    44.89317323    20181009    245827    1200    7     TDP
52.99524189    12.50600718    20181009    281449    1200    2     TDP
276.1393171    4.834612097    20181010    184300    1200    7     TDP
319.4682401    42.69711631    20181010    220300    1200    8     TDP
18.2844993    16.63184539    20181010    254800    1200    8     TDP
279.9418139    35.13593095    20181011    184200    1200    7     TDP
325.9645682    26.70666593    20181011    215501    1200    7     TDP
16.65948267    34.76972407    20181011    251501    1200    7     TDP
60.18861092    17.95842239    20181011    283411    1200    2     TDP
278.2990101    50.47306256    20181012    184100    1200    7     TDP
333.430914    33.82241333    20181012    220100    1200    6     TDP
11.99858232    33.08244667    20181012    245600    1200    7     TDP
65.65848993    1.115585607    20181012    281600    1200    2     TDP
274.5528832    -3.225323442    20181013    184000    1200    8     TDP
325.825379    26.0051486    20181013    222027    1200    8     TDP
35.40965191    -7.932694196    20181013    260527    1200    6     TDP
276.4860802    -9.858868483    20181014    183900    1200    8     TDP
335.3322459    4.067926797    20181014    221439    1200    7     TDP
15.04835791    33.7651822    20181014    253034    1200    8     TDP
273.7308738    36.23086871    20181015    183800    1200    8     TDP
334.5869397    2.58707941    20181015    222300    1200    7     TDP
17.81735302    20.19075152    20181015    254300    1200    9     TDP
281.6352629    -4.256836115    20181016    183700    1200    7     TDP
331.6306634    49.78556658    20181016    215700    1200    7     TDP
13.75479631    -5.005431122    20181016    251700    1200    8     TDP
286.377047    56.20168512    20181017    183600    1200    6     TDP
327.4314221    -2.009974072    20181017    213100    1200    7     TDP
16.22055071    24.87634264    20181017    244640    1200    7     TDP
66.38896115    53.5162897    20181017    280251    1200    3     TDP
280.5423007    50.68785333    20181018    183500    1200    7     TDP
323.5643149    43.99597129    20181018    215500    1200    9     TDP
24.38266106    52.86495911    20181018    255404    1200    8     TDP
288.8773252    1.59747324    20181019    183400    1200    6     TDP
330.2901835    54.76132057    20181019    212900    1200    7     TDP
8.674635117    2.872546557    20181019    243906    1200    8     TDP
62.41152421    17.25512132    20181019    282406    1200    2     TDP
284.8625704    50.23378901    20181020    183300    1200    7     TDP
334.6838526    -9.258180343    20181020    215244    1200    7     TDP
29.01109378    55.8572755    20181020    251244    1200    6     TDP
64.10025621    -2.393951286    20181020    280744    1200    3     TDP
281.4350241    0.4160636641    20181021    183200    1200    8     TDP
344.2586712    0.9507382448    20181021    220823    1200    6     TDP
16.1517442    47.82288905    20181021    250323    1200    8     TDP
74.79410521    23.0482353    20181021    284823    1200    1     TDP
282.1664709    36.56763569    20181022    183100    1200    8     TDP
344.4832419    43.38475405    20181022    220724    1200    6     TDP
17.02335225    26.16035883    20181022    250224    1200    8     TDP
83.86368472    13.06797948    20181022    284724    1200    1     TDP
289.0483478    4.109306414    20181023    183000    1200    7     TDP
339.152093    47.65059137    20181023    214148    1200    6     TDP
20.20441622    -0.3358066133    20181023    243648    1200    7     TDP
58.86727655    5.387739846    20181023    275046    1200    4     TDP
291.5396952    52.21854957    20181024    182900    1200    6     TDP
330.0177936    55.04677567    20181024    212400    1200    7     TDP
24.86072042    0.2501100781    20181024    244400    1200    6     TDP
59.01818557    16.87389805    20181024    273900    1200    4     TDP
285.5244291    48.15616989    20181025    182800    1200    7     TDP
341.846895    54.64741683    20181025    214800    1200    6     TDP
18.40207237    32.56620763    20181025    244300    1200    8     TDP
73.22479497    39.89762637    20181025    281815    1200    3     TDP
286.0721332    11.22691889    20181026    182700    1200    8     TDP
338.9161133    9.540534689    20181026    215930    1200    8     TDP
26.1270909    40.95834467    20181026    253308    1200    9     TDP
282.3825002    4.369761817    20181027    182600    1200    8     TDP
343.4620261    18.37128978    20181027    221100    1200    7     TDP
34.1934329    34.623781    20181027    253100    1200    7     TDP
86.01181148    -3.614853376    20181027    285100    1200    1     TDP
289.9269759    -4.304420212    20181028    182500    1200    7     TDP
337.12684    27.48344691    20181028    214500    1200    8     TDP
33.64899284    10.55247564    20181028    251909    1200    7     TDP
81.61912437    26.93394497    20181028    283909    1200    2     TDP
295.8478521    54.39831075    20181029    182400    1200    6     TDP
333.4340344    48.22175324    20181029    211900    1200    7     TDP
26.63782735    36.05029939    20181029    243900    1200    7     TDP
70.25322959    58.56984975    20181029    275302    1200    4     TDP
283.0066743    51.40891541    20181030    182300    1200    8     TDP
346.5808867    29.07976427    20181030    220800    1200    7     TDP
32.89783353    35.98078281    20181030    252800    1200    8     TDP
288.557194    26.30303233    20181031    182200    1200    8     TDP
348.3868711    33.08355906    20181031    215914    1200    7     TDP
40.52646991    25.83631958    20181031    251423    1200    6     TDP
70.1373449    57.44323406    20181031    280923    1200    3     TDP
290.8043378    43.87486571    20181101    182100    1200    7     TDP
343.1194852    8.485509963    20181101    214100    1200    7     TDP
33.21535317    55.68664393    20181101    250100    1200    7     TDP
87.83542579    17.15352162    20181101    282100    1200    3     TDP
288.466462    53.96458541    20181102    182000    1200    8     TDP
350.5585359    -7.260685366    20181102    220328    1200    7     TDP
42.84078553    57.38338631    20181102    252201    1200    7     TDP
77.69463846    49.32952125    20181102    283000    1200    2     TDP
293.2883955    -2.693090408    20181103    181900    1200    7     TDP
349.5585986    49.56876233    20181103    213900    1200    6     TDP
23.50943094    45.21661151    20181103    243400    1200    8     TDP
88.66471569    16.4081314    20181103    281513    1200    3     TDP
292.6516341    41.43146876    20181104    181800    1200    8     TDP
344.1433957    55.695522    20181104    215035    1200    8     TDP
44.51417069    6.982763261    20181104    252947    1200    7     TDP
95.94958406    26.16237175    20181104    284642    1200    2     TDP
286.8966407    6.941550434    20181105    181700    1200    9     TDP
354.9940661    57.25633304    20181105    221532    1200    7     TDP
49.12008477    9.576648907    20181105    253532    1200    7     TDP
84.09916616    43.78988535    20181105    284343    1200    2     TDP
291.6659534    5.162750843    20181106    181600    1200    8     TDP
355.592412    21.71262259    20181106    215824    1200    7     TDP
32.48729587    7.619703773    20181106    250729    1200    8     TDP
92.04686414    -9.12731296    20181106    285229    1200    2     TDP
296.0649491    -2.375755077    20181107    181500    1200    7     TDP
343.2389485    36.9089228    20181107    213500    1200    8     TDP
36.86268086    33.82856868    20181107    251402    1200    8     TDP
96.72470372    51.12512719    20181107    285736    1200    1     TDP
297.9826627    56.59081627    20181108    181400    1200    7     TDP
339.6306785    51.77279823    20181108    213400    1200    8     TDP
49.48697368    2.733391107    20181108    251900    1200    6     TDP
82.86368087    42.59981405    20181108    281400    1200    3     TDP
291.0238283    42.77230371    20181109    181300    1200    8     TDP
0.2594432659    15.24926954    20181109    215800    1200    6     TDP
33.0376733    25.19660969    20181109    245300    1200    8     TDP
96.18850259    19.72191377    20181109    283800    1200    2     TDP
303.2254687    2.210496133    20181110    181200    1200    7     TDP
346.1041126    2.009642805    20181110    211953    1200    7     TDP
36.57033789    47.40757108    20181110    243953    1200    7     TDP
79.6997595    47.50430414    20181110    275953    1200    4     TDP
293.2565014    -4.031848256    20181111    181100    1200    8     TDP
353.8365963    48.82983657    20181111    215600    1200    8     TDP
42.6285588    38.69361138    20181111    252923    1200    8     TDP
305.8758146    7.277884168    20181112    181000    1200    6     TDP
339.644449    3.102709625    20181112    210500    1200    8     TDP
36.36481626    36.34135482    20181112    244805    1200    8     TDP
89.60942013    14.64795182    20181112    282722    1200    3     TDP
293.5679728    53.35126336    20181113    180900    1200    8     TDP
359.3422582    -9.321531083    20181113    215400    1200    7     TDP
45.09946698    33.96231152    20181113    251113    1200    7     TDP
89.07973385    26.71761223    20181113    283113    1200    3     TDP
297.8473039    11.72053194    20181114    180800    1200    8     TDP
348.6229815    42.02281992    20181114    214908    1200    9     TDP
61.4539225    2.694801116    20181114    254818    1200    6     TDP
106.729994    17.53979113    20181114    284318    1200    2     TDP
299.5966089    -9.529162099    20181115    180700    1200    8     TDP
351.042222    35.59718383    20181115    214404    1200    8     TDP
55.7989805    13.05061238    20181115    252904    1200    7     TDP
105.4185131    34.04897935    20181115    284324    1200    2     TDP
303.1346271    20.24792441    20181116    180600    1200    7     TDP
351.2350416    -5.698815892    20181116    212600    1200    8     TDP
47.04307037    19.1379398    20181116    245927    1200    7     TDP
89.01039348    26.452397    20181116    281927    1200    3     TDP
297.0373725    22.85295275    20181117    180500    1200    8     TDP
5.576918506    50.54077329    20181117    215000    1200    6     TDP
45.73537534    -4.124195435    20181117    244500    1200    7     TDP
93.09886022    40.03850239    20181117    280323    1200    4     TDP
308.0469327    26.82635151    20181118    180400    1200    7     TDP
347.7106225    -9.459647442    20181118    211604    1200    8     TDP
46.1380714    54.44524364    20181118    250104    1200    8     TDP
107.7365079    26.96556474    20181118    283750    1200    3     TDP
300.8304476    57.59324123    20181119    180300    1200    8     TDP
356.072154    31.90073209    20181119    214652    1200    8     TDP
63.45767657    22.40135488    20181119    253152    1200    6     TDP
95.67715079    1.925871946    20181119    282652    1200    3     TDP
309.560723    31.37023285    20181120    180200    1200    7     TDP
352.9089096    40.76518181    20181120    211353    1200    7     TDP
47.96258511    28.59666158    20181120    243353    1200    7     TDP
