RA              DEC            OBS_DATE    OBS_TIME    EXPOSURE    EXPOSURE_TIMES    PLATECLASS
260.6906932    -4.04772859    20180923    190000    1200    3     FDP
296.8116978    17.86058717    20180923    204000    1200    3     FDP
334.8525364    46.66966574    20180923    222000    1200    3     FDP
349.5899618    57.66279543    20180923    240000    1200    3     FDP
3.820784476    57.30731767    20180923    254000    1200    3     FDP
43.69353596    19.02512052    20180923    272000    1200    3     FDP
262.2172262    28.09909612    20180924    185900    1200    8     TDP
315.001602    49.14492071    20180924    223303    1200    3     FDP
342.9329558    44.62567334    20180924    241303    1200    7     TDP
54.01499727    11.98920095    20180924    273303    1200    3     FDP
258.7532127    1.474568501    20180925    185800    1200    3     FDP
288.4778884    2.216670948    20180925    203800    1200    7     TDP
337.3134041    37.18788795    20180925    235800    1200    8     TDP
51.73584107    1.577905932    20180925    273436    1200    3     FDP
264.8504313    37.08568258    20180926    185700    1200    3     FDP
286.2572175    31.51318113    20180926    203700    1200    8     TDP
342.6798504    -3.284883988    20180926    242046    1200    3     FDP
14.16800273    56.4203734    20180926    260046    1200    7     TDP
266.5055967    22.58479227    20180927    185600    1200    7     TDP
327.873903    32.3198589    20180927    221600    1200    3     FDP
357.6808402    2.155654699    20180927    235600    1200    3     FDP
13.90987023    42.7167136    20180927    253600    1200    3     FDP
50.30926318    0.3287889926    20180927    271600    1200    3     FDP
266.3174595    45.6066799    20180928    185500    1200    7     TDP
323.7918421    10.69155604    20180928    221500    1200    3     FDP
2.600325932    11.70113616    20180928    235500    1200    3     FDP
0.3529188783    21.39945236    20180928    253500    1200    3     FDP
25.19854394    46.13433624    20180928    271500    1200    3     FDP
267.4219528    6.786241393    20180929    185400    1200    7     TDP
318.9291421    26.49848696    20180929    221400    1200    3     FDP
3.008502544    58.45008848    20180929    235400    1200    3     FDP
1.225362203    -6.537225787    20180929    253400    1200    3     FDP
31.17476116    46.81399473    20180929    271400    1200    3     FDP
282.7700228    18.44586478    20180930    185300    1200    3     FDP
297.5919737    54.11917419    20180930    203300    1200    7     TDP
341.1725759    53.25499763    20180930    234309    1200    7     TDP
36.60739306    12.97272837    20180930    270309    1200    3     FDP
56.82907091    2.828784367    20180930    284309    1200    1     TDP
270.906828    3.755265509    20181001    185200    1200    7     TDP
317.8964199    46.12834128    20181001    221150    1200    7     TDP
21.78784177    7.900977813    20181001    253150    1200    3     FDP
28.70179141    49.31456808    20181001    271150    1200    5     TDP
273.2883949    -9.429736063    20181002    185100    1200    3     FDP
293.520877    -0.5040088574    20181002    203100    1200    7     TDP
339.3339264    38.88723935    20181002    235100    1200    8     TDP
43.58477259    17.60749362    20181002    273600    1200    4     TDP
262.3426334    23.11837013    20181003    185000    1200    3     FDP
297.1475289    58.04760912    20181003    203000    1200    7     TDP
4.449065225    55.81403494    20181003    235000    1200    3     FDP
22.59526781    13.20720633    20181003    253000    1200    3     FDP
45.88248798    21.48491869    20181003    271000    1200    3     FDP
273.2072147    42.11538235    20181004    184900    1200    7     TDP
341.0702141    -8.726144871    20181004    220826    1200    3     FDP
358.1975249    16.46311247    20181004    234826    1200    3     FDP
24.73856031    44.89317323    20181004    252826    1200    3     FDP
31.48274189    12.50600718    20181004    270826    1200    5     TDP
272.4726504    4.834612097    20181005    184800    1200    7     TDP
317.803147    42.69711631    20181005    220800    1200    3     FDP
347.9356653    16.63184539    20181005    234800    1200    3     FDP
27.28362772    35.13593095    20181005    252800    1200    3     FDP
38.31040154    26.70666593    20181005    270800    1200    5     TDP
284.9439653    34.76972407    20181006    184700    1200    3     FDP
293.4761109    17.95842239    20181006    202700    1200    8     TDP
4.318853499    50.47306256    20181006    241113    1200    3     FDP
39.5826613    33.82241333    20181006    255113    1200    3     FDP
54.21799797    33.08244667    20181006    273113    1200    3     FDP
278.2418233    1.115585607    20181007    184600    1200    7     TDP
322.0599332    -3.225323442    20181007    215405    1200    3     FDP
338.3337124    26.0051486    20181007    233405    1200    8     TDP
62.29847049    -7.932694196    20181007    271905    1200    3     FDP
278.1721603    -9.858868483    20181008    184500    1200    3     FDP
313.0394918    4.067926797    20181008    202500    1200    3     FDP
319.5133825    33.7651822    20181008    220500    1200    3     FDP
346.1950809    36.23086871    20181008    234500    1200    3     FDP
20.4072128    2.58707941    20181008    252500    1200    3     FDP
31.86803938    20.19075152    20181008    270500    1200    3     FDP
75.53719254    -4.256836115    20181008    284500    1200    1     FDP
276.49733    49.78556658    20181009    184400    1200    7     TDP
318.621463    -5.005431122    20181009    220400    1200    8     TDP
40.53742734    56.20168512    20181009    254900    1200    3     FDP
60.14617755    -2.009974072    20181009    272900    1200    3     FDP
289.3744348    24.87634264    20181010    184300    1200    3     FDP
316.619589    53.5162897    20181010    202300    1200    3     FDP
331.8846015    50.68785333    20181010    220300    1200    3     FDP
342.6976482    43.99597129    20181010    234300    1200    9     TDP
44.79865546    52.86495911    20181010    274204    1200    3     FDP
283.0106585    1.59747324    20181011    184200    1200    6     TDP
336.8970336    54.76132057    20181011    213700    1200    3     FDP
343.6159369    2.872546557    20181011    231700    1200    3     FDP
3.58971508    17.25512132    20181011    245700    1200    3     FDP
47.07514088    50.23378901    20181011    263700    1200    3     FDP
61.90051931    -9.258180343    20181011    281700    1200    2     TDP
297.4888542    55.8572755    20181012    184100    1200    3     FDP
305.1671791    -2.393951286    20181012    202100    1200    3     FDP
324.8350241    0.4160636641    20181012    220100    1200    8     TDP
42.28817569    0.9507382448    20181012    253723    1200    3     FDP
43.57432172    47.82288905    20181012    271723    1200    3     FDP
279.9965438    23.0482353    20181013    184000    1200    3     FDP
306.4662752    36.56763569    20181013    202000    1200    3     FDP
347.8998171    43.38475405    20181013    220000    1200    3     FDP
350.4800378    26.16035883    20181013    234000    1200    3     FDP
36.66070278    13.06797948    20181013    252000    1200    3     FDP
58.76336228    4.109306414    20181013    270000    1200    3     FDP
73.86875969    47.65059137    20181013    284000    1200    2     TDP
293.4088324    -0.3358066133    20181014    183900    1200    3     FDP
297.0756099    5.387739846    20181014    201900    1200    8     TDP
19.26272372    52.21854957    20181014    240400    1200    3     FDP
33.71892052    55.04677567    20181014    254400    1200    3     FDP
68.40477418    0.2501100781    20181014    272400    1200    3     FDP
274.9181856    16.87389805    20181015    183800    1200    8     TDP
341.4613582    48.15616989    20181015    222251    1200    3     FDP
19.10628996    54.64741683    20181015    240251    1200    3     FDP
23.53123904    32.56620763    20181015    254251    1200    8     TDP
286.2579233    39.89762637    20181016    183700    1200    3     FDP
303.7387998    11.22691889    20181016    201700    1200    8     TDP
3.17389319    9.540534689    20181016    234930    1200    3     FDP
15.77918179    40.95834467    20181016    252930    1200    3     FDP
44.89000035    4.369761817    20181016    270930    1200    3     FDP
72.27035942    18.37128978    20181016    284930    1200    1     TDP
288.6201991    34.623781    20181017    183600    1200    3     FDP
317.2569563    -3.614853376    20181017    201600    1200    3     FDP
331.8603092    -4.304420212    20181017    215600    1200    7     TDP
19.06017338    27.48344691    20181017    251600    1200    8     TDP
85.02715235    10.55247564    20181017    285009    1200    1     FDP
288.1632487    26.93394497    20181018    183500    1200    3     FDP
327.2290376    54.39831075    20181018    201500    1200    3     FDP
331.6173677    48.22175324    20181018    215500    1200    7     TDP
36.30898803    36.05029939    20181018    251500    1200    3     FDP
51.52312585    58.56984975    20181018    265500    1200    3     FDP
64.20667434    51.40891541    20181018    283500    1200    2     TDP
282.2642201    29.07976427    20181019    183400    1200    7     TDP
328.5811669    35.98078281    20181019    215400    1200    8     TDP
30.93105458    26.30303233    20181019    253556    1200    3     FDP
55.76187106    33.08355906    20181019    271556    1200    5     TDP
303.9279398    25.83631958    20181020    183300    1200    3     FDP
300.6496898    57.44323406    20181020    201300    1200    3     FDP
339.2086756    43.87486571    20181020    215300    1200    3     FDP
359.3194852    8.485509963    20181020    233300    1200    7     TDP
59.03070635    55.68664393    20181020    265300    1200    3     FDP
79.03542579    17.15352162    20181020    283300    1200    2     TDP
283.7995908    53.96458541    20181021    183200    1200    3     FDP
321.250405    -7.260685366    20181021    201200    1200    3     FDP
351.5399044    57.38338631    20181021    215200    1200    3     FDP
352.2559436    49.32952125    20181021    233200    1200    3     FDP
31.97679091    -2.693090408    20181021    251200    1200    3     FDP
55.02526527    49.56876233    20181021    265200    1200    6     TDP
285.6521952    45.21661151    20181022    183100    1200    3     FDP
330.3544314    16.4081314    20181022    201100    1200    3     FDP
333.1183007    41.43146876    20181022    215100    1200    8     TDP
29.8076248    55.695522    20181022    252335    1200    3     FDP
65.94917472    6.982763261    20181022    270335    1200    3     FDP
95.36166812    26.16237175    20181022    284335    1200    1     FDP
277.7266147    6.941550434    20181023    183000    1200    3     FDP
319.6547988    57.25633304    20181023    201000    1200    3     FDP
352.9068362    9.576648907    20181023    215000    1200    3     FDP
352.8866662    43.78988535    20181023    233000    1200    8     TDP
57.04857352    5.162750843    20181023    271500    1200    3     FDP
85.97574532    21.71262259    20181023    285500    1200    1     TDP
280.0831292    7.619703773    20181024    182900    1200    8     TDP
345.3020616    -9.12731296    20181024    221400    1200    3     FDP
15.11323149    -2.375755077    20181024    235400    1200    3     FDP
34.46123043    36.9089228    20181024    253400    1200    3     FDP
57.19202838    33.82856868    20181024    271400    1200    3     FDP
90.13274078    51.12512719    20181024    285400    1200    1     FDP
296.9653254    56.59081627    20181025    182800    1200    3     FDP
305.2613569    51.77279823    20181025    200800    1200    3     FDP
342.970307    2.733391107    20181025    214800    1200    6     TDP
20.47736174    42.59981405    20181025    244300    1200    3     FDP
40.33098998    42.77230371    20181025    262300    1200    3     FDP
76.75944327    15.24926954    20181025    280300    1200    3     TDP
286.3420133    25.19660969    20181026    182700    1200    3     FDP
314.6718359    19.72191377    20181026    200700    1200    7     TDP
6.750468666    2.210496133    20181026    232506    1200    7     TDP
49.6291126    2.009642805    20181026    263259    1200    7     TDP
298.7323424    47.40757108    20181027    182600    1200    3     FDP
309.9911857    47.50430414    20181027    200600    1200    3     FDP
332.2565014    -4.031848256    20181027    214600    1200    8     TDP
32.83659629    48.82983657    20181027    253100    1200    8     TDP
284.8654509    38.69361138    20181028    182500    1200    3     FDP
319.8758146    7.277884168    20181028    200500    1200    6     TDP
357.8722313    3.102709625    20181028    230000    1200    3     FDP
24.77129918    36.34135482    20181028    244000    1200    3     FDP
43.01775346    14.64795182    20181028    262000    1200    8     TDP
282.5679728    53.35126336    20181029    182400    1200    8     TDP
359.0345163    -9.321531083    20181029    220900    1200    3     FDP
16.94060064    33.96231152    20181029    234900    1200    3     FDP
29.90113437    26.71761223    20181029    252900    1200    3     FDP
62.07794111    11.72053194    20181029    270900    1200    3     FDP
78.0626297    42.02281992    20181029    284900    1200    1     FDP
295.3789225    2.694801116    20181030    182300    1200    6     TDP
355.4266547    17.53979113    20181030    211800    1200    3     FDP
2.343217732    -9.529162099    20181030    225800    1200    3     FDP
18.79222203    35.59718383    20181030    243800    1200    8     TDP
94.96462767    13.05061238    20181030    282300    1200    2     FDP
307.7703596    34.04897935    20181031    182200    1200    3     FDP
316.4012938    20.24792441    20181031    200200    1200    7     TDP
11.13674978    -5.698815892    20181031    232200    1200    3     FDP
31.94723704    19.1379398    20181031    250200    1200    7     TDP
74.96245363    26.452397    20181031    282200    1200    2     FDP
285.3040392    22.85295275    20181101    182100    1200    8     TDP
7.837170345    50.54077329    20181101    220600    1200    3     FDP
25.65408402    -4.124195435    20181101    234600    1200    3     FDP
46.18938711    40.03850239    20181101    252600    1200    3     FDP
78.81053201    26.82635151    20181101    270600    1200    3     FDP
83.47728914    -9.459647442    20181101    284600    1200    2     TDP
295.9428095    54.44524364    20181102    182000    1200    3     FDP
335.7563492    26.96556474    20181102    200000    1200    3     FDP
342.3942285    57.59324123    20181102    214000    1200    3     FDP
5.944307924    31.90073209    20181102    232000    1200    3     FDP
53.21535313    22.40135488    20181102    250000    1200    3     FDP
52.24381745    1.925871946    20181102    264000    1200    7     TDP
309.1214459    31.37023285    20181103    181900    1200    3     FDP
324.8761526    40.76518181    20181103    195900    1200    3     FDP
347.5250851    28.59666158    20181103    213900    1200    7     TDP
35.82653177    43.40043316    20181103    244909    1200    6     TDP
69.89684075    3.560588424    20181103    274409    1200    3     FDP
297.1220082    24.22729589    20181104    181800    1200    7     TDP
342.1518983    47.39632002    20181104    213242    1200    7     TDP
37.57826281    41.87612002    20181104    245242    1200    3     FDP
61.57459123    35.92296707    20181104    263242    1200    3     FDP
75.54609219    23.42741511    20181104    281242    1200    3     FDP
298.50415    -6.980450244    20181105    181700    1200    7     TDP
348.1382714    -9.643267899    20181105    212907    1200    3     FDP
8.665833729    59.92987234    20181105    230907    1200    7     TDP
66.61052393    6.464228682    20181105    262907    1200    3     FDP
77.63139015    28.34832019    20181105    280907    1200    3     FDP
311.9720405    -2.400728179    20181106    181600    1200    3     FDP
