RA              DEC            OBS_DATE    OBS_TIME    EXPOSURE    EXPOSURE_TIMES    PLATECLASS
260.6906932    -4.04772859    20180923    190000    1200    3     FDP
288.4058489    17.86058717    20180923    204000    1200    7     TDP
344.9262682    46.66966574    20180923    240000    1200    6     TDP
23.5449809    57.66279543    20180923    265500    1200    5     TDP
264.5541178    57.30731767    20180924    185900    1200    3     FDP
292.5801013    19.02512052    20180924    203900    1200    7     TDP
335.3672262    28.09909612    20180924    235136    1200    8     TDP
25.27371765    49.14492071    20180924    272539    1200    4     TDP
265.1537892    44.62567334    20180925    185800    1200    7     TDP
321.3512486    11.98920095    20180925    221800    1200    6     TDP
351.3599397    1.474568501    20180925    251300    1200    8     TDP
264.2112218    2.216670948    20180926    185700    1200    7     TDP
313.0467374    37.18788795    20180926    221700    1200    8     TDP
27.4691744    1.577905932    20180926    255336    1200    3     FDP
30.17521563    37.08568258    20180926    273336    1200    4     TDP
261.9905508    31.51318113    20180927    185600    1200    8     TDP
316.1440918    -3.284883988    20180927    223946    1200    8     TDP
21.15133607    56.4203734    20180927    262446    1200    7     TDP
267.23893    22.58479227    20180928    185500    1200    7     TDP
318.6369515    32.3198589    20180928    221500    1200    7     TDP
11.04042011    2.155654699    20180928    253500    1200    7     TDP
267.3882684    42.7167136    20180929    185400    1200    7     TDP
323.0879649    0.3287889926    20180929    221400    1200    6     TDP
0.8007928002    45.6066799    20180929    250900    1200    7     TDP
50.71258772    10.69155604    20180929    282900    1200    2     TDP
289.0669926    11.70113616    20180930    185300    1200    3     FDP
285.9764594    21.39945236    20180930    203300    1200    8     TDP
342.9152106    46.13433624    20180930    241800    1200    3     FDP
14.40528609    6.786241393    20180930    255800    1200    7     TDP
265.6312377    26.49848696    20181001    185200    1200    8     TDP
330.4042513    58.45008848    20181001    223256    1200    6     TDP
0.7626811016    -6.537225787    20181001    252756    1200    8     TDP
268.3747612    46.81399473    20181002    185100    1200    3     FDP
297.9183447    18.44586478    20181002    203100    1200    7     TDP
347.737807    54.11917419    20181002    234543    1200    7     TDP
31.31840925    53.25499763    20181002    265552    1200    5     TDP
269.3016132    12.97272837    20181003    185000    1200    7     TDP
321.4915709    2.828784367    20181003    221000    1200    7     TDP
12.37349467    3.755265509    20181003    253000    1200    7     TDP
270.1380866    46.12834128    20181004    184900    1200    7     TDP
334.0295084    7.900977813    20181004    220900    1200    3     FDP
340.9434581    49.31456808    20181004    234900    1200    8     TDP
40.16086412    -9.429736063    20181004    273400    1200    4     TDP
270.720877    -0.5040088574    20181005    184800    1200    7     TDP
316.5339264    38.88723935    20181005    220800    1200    8     TDP
20.78477259    17.60749362    20181005    255300    1200    7     TDP
264.5379833    23.11837013    20181006    184700    1200    9     TDP
334.3391956    58.04760912    20181006    224658    1200    7     TDP
28.08286595    55.81403494    20181006    260658    1200    6     TDP
275.3976339    13.20720633    20181007    184600    1200    7     TDP
324.4079107    21.48491869    20181007    220528    1200    7     TDP
15.27388134    42.11538235    20181007    252528    1200    7     TDP
69.06427373    -8.726144871    20181007    284454    1200    1     TDP
276.1362624    16.46311247    20181008    184500    1200    7     TDP
337.6760603    44.89317323    20181008    220427    1200    3     FDP
344.4202419    12.50600718    20181008    234427    1200    8     TDP
45.78515045    4.834612097    20181008    272927    1200    4     TDP
268.7349068    42.69711631    20181009    184400    1200    8     TDP
327.551166    16.63184539    20181009    222900    1200    8     TDP
41.89612772    35.13593095    20181009    261043    1200    3     FDP
52.92290154    26.70666593    20181009    275043    1200    3     TDP
277.6719827    34.76972407    20181010    184300    1200    7     TDP
321.2011109    17.95842239    20181010    220210    1200    8     TDP
22.67817675    50.47306256    20181010    254623    1200    7     TDP
282.6975806    33.82241333    20181011    184200    1200    6     TDP
321.265249    33.08244667    20181011    213700    1200    7     TDP
14.92515659    1.115585607    20181011    245700    1200    7     TDP
53.85704991    -3.225323442    20181011    280505    1200    3     TDP
269.9795457    26.0051486    20181012    184100    1200    8     TDP
353.9443038    -7.932694196    20181012    222600    1200    3     FDP
356.2694135    -9.858868483    20181012    240600    1200    8     TDP
55.11557924    4.067926797    20181012    274139    1200    4     TDP
271.4233579    33.7651822    20181013    184000    1200    8     TDP
331.1117476    36.23086871    20181013    222500    1200    3     FDP
358.1202731    2.58707941    20181013    240500    1200    7     TDP
41.35068636    20.19075152    20181013    272500    1200    5     TDP
280.1685963    -4.256836115    20181014    183900    1200    7     TDP
330.1639967    49.78556658    20181014    215900    1200    7     TDP
12.28812965    -5.005431122    20181014    251900    1200    8     TDP
298.6874273    56.20168512    20181015    183800    1200    3     FDP
307.2147554    -2.009974072    20181015    201800    1200    7     TDP
356.003884    24.87634264    20181015    233340    1200    7     TDP
58.24875564    53.5162897    20181015    264951    1200    3     FDP
66.30480074    50.68785333    20181015    282951    1200    2     TDP
272.0976482    43.99597129    20181016    183700    1200    9     TDP
332.9159944    52.86495911    20181016    223604    1200    8     TDP
42.69399186    1.59747324    20181016    262104    1200    6     TDP
297.5470336    54.76132057    20181017    183600    1200    3     FDP
300.9329685    2.872546557    20181017    201600    1200    8     TDP
354.6698575    17.25512132    20181017    240100    1200    8     TDP
60.16257044    50.23378901    20181017    274600    1200    4     TDP
283.2838526    -9.258180343    20181018    183500    1200    7     TDP
337.6110938    55.8572755    20181018    215500    1200    6     TDP
18.31717909    -2.393951286    20181018    245000    1200    3     FDP
37.98502407    0.4160636641    20181018    263000    1200    7     TDP
288.6961712    0.9507382448    20181019    183400    1200    6     TDP
320.5892442    47.82288905    20181019    212900    1200    8     TDP
24.39654376    23.0482353    20181019    251400    1200    3     FDP
44.96647092    36.56763569    20181019    265400    1200    6     TDP
288.9165752    43.38475405    20181020    183300    1200    6     TDP
324.3633712    26.16035883    20181020    212800    1200    3     FDP
357.0470181    13.06797948    20181020    230800    1200    6     TDP
39.34834781    4.109306414    20181020    260300    1200    7     TDP
289.7354264    47.65059137    20181021    183200    1200    6     TDP
330.7877496    -0.3358066133    20181021    212700    1200    7     TDP
