RA              DEC            OBS_DATE    OBS_TIME    EXPOSURE    EXPOSURE_TIMES    PLATECLASS
260.6906932    -4.04772859    20180923    190000    1200    3     FDP
296.8116978    17.86058717    20180923    204000    1200    3     FDP
319.9262682    46.66966574    20180923    222000    1200    6     TDP
358.5449809    57.66279543    20180923    251500    1200    7     TDP
47.57078448    57.30731767    20180923    283500    1200    1     FDP
267.5801013    19.02512052    20180924    185900    1200    7     TDP
310.3672262    28.09909612    20180924    221136    1200    8     TDP
3.151601968    49.14492071    20180924    254539    1200    3     FDP
31.08295582    44.62567334    20180924    272539    1200    4     TDP
271.3512486    11.98920095    20180925    185800    1200    6     TDP
301.3599397    1.474568501    20180925    215300    1200    8     TDP
3.477888419    2.216670948    20180925    253800    1200    7     TDP
263.0467374    37.18788795    20180926    185700    1200    8     TDP
337.4691744    1.577905932    20180926    223336    1200    3     FDP
340.1752156    37.08568258    20180926    241336    1200    8     TDP
36.57805082    31.51318113    20180926    275817    1200    3     TDP
260.2024252    -3.284883988    20180927    185600    1200    8     TDP
325.2096694    56.4203734    20180927    224100    1200    7     TDP
11.72643004    22.58479227    20180927    255653    1200    7     TDP
268.6369515    32.3198589    20180928    185500    1200    7     TDP
333.4141735    2.155654699    20180928    221500    1200    3     FDP
341.6549351    42.7167136    20180928    235500    1200    7     TDP
51.04259651    0.3287889926    20180928    271500    1200    3     FDP
267.0507928    45.6066799    20180929    185400    1200    7     TDP
316.9625877    10.69155604    20180929    221400    1200    7     TDP
28.33365927    11.70113616    20180929    253400    1200    3     FDP
25.24312611    21.39945236    20180929    271400    1200    5     TDP
261.6652106    46.13433624    20180930    185300    1200    3     FDP
293.1552861    6.786241393    20180930    203300    1200    7     TDP
339.8979044    26.49848696    20180930    235300    1200    8     TDP
58.97516921    58.45008848    20180930    273356    1200    3     FDP
261.7793478    -6.537225787    20181001    185200    1200    8     TDP
323.8914278    46.81399473    20181001    223700    1200    3     FDP
353.4350114    18.44586478    20181001    241700    1200    7     TDP
43.25447366    54.11917419    20181001    273143    1200    4     TDP
270.1017426    53.25499763    20181002    185100    1200    7     TDP
318.5682799    12.97272837    20181002    221100    1200    7     TDP
10.75823757    2.828784367    20181002    253100    1200    7     TDP
272.3734947    3.755265509    20181003    185000    1200    7     TDP
319.3630866    46.12834128    20181003    220950    1200    7     TDP
23.25450843    7.900977813    20181003    252950    1200    3     FDP
30.16845807    49.31456808    20181003    270950    1200    5     TDP
268.9108641    -9.429736063    20181004    184900    1200    8     TDP
324.1417103    -0.5040088574    20181004    222537    1200    7     TDP
9.954759728    38.88723935    20181004    254537    1200    8     TDP
274.5347726    17.60749362    20181005    184800    1200    7     TDP
313.06715    23.11837013    20181005    220503    1200    9     TDP
22.86836223    58.04760912    20181005    260501    1200    7     TDP
278.0911993    55.81403494    20181006    184700    1200    6     TDP
318.4143006    13.20720633    20181006    214200    1200    7     TDP
7.424577324    21.48491869    20181006    250128    1200    7     TDP
58.29054801    42.11538235    20181006    282128    1200    2     TDP
279.3392737    -8.726144871    20181007    184600    1200    6     TDP
319.1529291    16.46311247    20181007    214100    1200    7     TDP
20.69272698    44.89317323    20181007    250027    1200    3     FDP
27.43690856    12.50600718    20181007    264027    1200    6     TDP
274.6726504    4.834612097    20181008    184500    1200    7     TDP
320.003147    42.69711631    20181008    220500    1200    3     FDP
345.5678326    16.63184539    20181008    234500    1200    8     TDP
59.91279439    35.13593095    20181008    272643    1200    3     FDP
276.2437349    26.70666593    20181009    184400    1200    7     TDP
337.1439653    34.76972407    20181009    220400    1200    3     FDP
345.6761109    17.95842239    20181009    234400    1200    8     TDP
47.15317675    50.47306256    20181009    272813    1200    4     TDP
281.9642473    33.82241333    20181010    184300    1200    6     TDP
320.5319157    33.08244667    20181010    213800    1200    7     TDP
14.19182326    1.115585607    20181010    245800    1200    7     TDP
53.12371658    -3.225323442    20181010    280605    1200    3     TDP
269.2462124    26.0051486    20181011    184200    1200    8     TDP
353.2109705    -7.932694196    20181011    222700    1200    3     FDP
355.5360802    -9.858868483    20181011    240700    1200    8     TDP
54.3822459    4.067926797    20181011    274239    1200    4     TDP
270.6900246    33.7651822    20181012    184100    1200    8     TDP
330.3784142    36.23086871    20181012    222600    1200    3     FDP
357.3869397    2.58707941    20181012    240600    1200    7     TDP
41.05137272    20.19075152    20181012    272600    1200    3     FDP
279.4352629    -4.256836115    20181013    184000    1200    7     TDP
329.4306634    49.78556658    20181013    220000    1200    7     TDP
11.55479631    -5.005431122    20181013    252000    1200    8     TDP
297.954094    56.20168512    20181014    183900    1200    3     FDP
317.5628442    -2.009974072    20181014    201900    1200    3     FDP
331.353884    24.87634264    20181014    215900    1200    7     TDP
33.59875564    53.5162897    20181014    251511    1200    3     FDP
41.65480074    50.68785333    20181014    265511    1200    6     TDP
271.3643149    43.99597129    20181015    183800    1200    9     TDP
332.1826611    52.86495911    20181015    223704    1200    8     TDP
41.96065852    1.59747324    20181015    262204    1200    6     TDP
296.8137003    54.76132057    20181016    183700    1200    3     FDP
300.1996351    2.872546557    20181016    201700    1200    8     TDP
354.7563817    17.25512132    20181016    240200    1200    3     FDP
28.17923711    50.23378901    20181016    254200    1200    7     TDP
282.5505193    -9.258180343    20181017    183600    1200    7     TDP
336.8777604    55.8572755    20181017    215600    1200    6     TDP
17.58384576    -2.393951286    20181017    245100    1200    3     FDP
37.25169073    0.4160636641    20181017    263100    1200    7     TDP
287.9628378    0.9507382448    20181018    183500    1200    6     TDP
319.8559109    47.82288905    20181018    213000    1200    8     TDP
23.66321043    23.0482353    20181018    251500    1200    3     FDP
44.23313759    36.56763569    20181018    265500    1200    6     TDP
302.2998171    43.38475405    20181019    183400    1200    3     FDP
304.8800378    26.16035883    20181019    201400    1200    3     FDP
337.5636847    13.06797948    20181019    215400    1200    6     TDP
19.86501448    4.109306414    20181019    244900    1200    7     TDP
69.96875969    47.65059137    20181019    280048    1200    3     TDP
297.8088324    -0.3358066133    20181020    183300    1200    3     FDP
301.4756099    5.387739846    20181020    201300    1200    8     TDP
9.856361858    52.21854957    20181020    235800    1200    6     TDP
48.33446026    55.04677567    20181020    265300    1200    6     TDP
302.2881075    0.2501100781    20181021    183200    1200    3     FDP
304.3181856    16.87389805    20181021    201200    1200    8     TDP
10.86135822    48.15616989    20181021    235651    1200    3     FDP
35.12606165    54.64741683    20181021    253651    1200    6     TDP
71.68123904    32.56620763    20181021    283151    1200    2     TDP
283.462295    39.89762637    20181022    183100    1200    7     TDP
333.1387998    11.22691889    20181022    215100    1200    8     TDP
32.57389319    9.540534689    20181022    252330    1200    3     FDP
45.17918179    40.95834467    20181022    270330    1200    3     FDP
71.84083351    4.369761817    20181022    284330    1200    2     TDP
284.2786928    18.37128978    20181023    183000    1200    7     TDP
343.0201991    34.623781    20181023    215000    1200    3     FDP
1.828478151    -3.614853376    20181023    233000    1200    7     TDP
51.2603092    -4.304420212    20181023    265000    1200    6     TDP
284.1935067    27.48344691    20181024    182900    1200    8     TDP
350.1604857    10.55247564    20181024    220309    1200    3     FDP
11.10074874    26.93394497    20181024    234309    1200    3     FDP
50.16653763    54.39831075    20181024    252309    1200    3     FDP
54.55486771    48.22175324    20181024    270309    1200    6     TDP
301.4423214    36.05029939    20181025    182800    1200    3     FDP
310.0615629    58.56984975    20181025    200800    1200    8     TDP
357.7441743    51.40891541    20181025    234137    1200    8     TDP
61.31838675    29.07976427    20181025    272637    1200    5     TDP
283.7145002    35.98078281    20181026    182700    1200    8     TDP
346.0643879    26.30303233    20181026    220856    1200    3     FDP
10.8952044    33.08355906    20181026    234856    1200    7     TDP
63.03480325    25.83631958    20181026    270405    1200    6     TDP
280.7830231    57.44323406    20181027    182600    1200    3     FDP
319.3420089    43.87486571    20181027    200600    1200    3     FDP
339.4528185    8.485509963    20181027    214600    1200    7     TDP
29.54868651    55.68664393    20181027    250600    1200    7     TDP
84.16875912    17.15352162    20181027    282600    1200    2     TDP
284.7997954    53.96458541    20181028    182500    1200    8     TDP
346.8918692    -7.260685366    20181028    220828    1200    7     TDP
39.17411886    57.38338631    20181028    252701    1200    7     TDP
74.88927692    49.32952125    20181028    283500    1200    2     FDP
289.6217288    -2.693090408    20181029    182400    1200    7     TDP
345.8919319    49.56876233    20181029    214400    1200    6     TDP
19.84276427    45.21661151    20181029    243900    1200    8     TDP
99.54193139    16.4081314    20181029    282013    1200    2     FDP
288.9849674    41.43146876    20181030    182300    1200    8     TDP
340.4767291    55.695522    20181030    215535    1200    8     TDP
51.61584138    6.982763261    20181030    253447    1200    3     FDP
81.02833479    26.16237175    20181030    271447    1200    3     FDP
80.80578138    6.941550434    20181030    285447    1200    1     FDP
291.6940661    57.25633304    20181031    182200    1200    7     TDP
345.8200848    9.576648907    20181031    214200    1200    7     TDP
20.79916616    43.78988535    20181031    245011    1200    8     TDP
84.96107352    5.162750843    20181031    283511    1200    2     FDP
296.3257453    21.71262259    20181101    182100    1200    7     TDP
333.2206292    7.619703773    20181101    213005    1200    8     TDP
38.4395616    -9.12731296    20181101    251505    1200    3     FDP
60.18578241    -2.375755077    20181101    265505    1200    6     TDP
289.5722819    36.9089228    20181102    182000    1200    8     TDP
347.3003617    33.82856868    20181102    215902    1200    3     FDP
20.24107411    51.12512719    20181102    233902    1200    3     FDP
38.34099601    56.59081627    20181102    251902    1200    7     TDP
79.98901181    51.77279823    20181102    283902    1200    2     TDP
299.570307    2.733391107    20181103    181900    1200    6     TDP
337.0773617    42.59981405    20181103    211400    1200    3     FDP
355.3738283    42.77230371    20181103    225400    1200    8     TDP
64.60944327    15.24926954    20181103    263900    1200    6     TDP
289.3710066    25.19660969    20181104    181800    1200    8     TDP
352.5218359    19.72191377    20181104    220300    1200    7     TDP
44.60046867    2.210496133    20181104    252106    1200    7     TDP
87.4791126    2.009642805    20181104    282859    1200    3     TDP
295.9328379    47.40757108    20181105    181700    1200    7     TDP
339.0622595    47.50430414    20181105    213700    1200    8     TDP
35.10650141    -4.031848256    20181105    252200    1200    8     TDP
95.68659629    48.82983657    20181105    290700    1200    1     TDP
291.4654509    38.69361138    20181106    181600    1200    3     FDP
326.4758146    7.277884168    20181106    195600    1200    6     TDP
0.2444489961    3.102709625    20181106    225100    1200    8     TDP
62.14213251    36.34135482    20181106    263405    1200    3     FDP
80.3885868    14.64795182    20181106    281405    1200    3     TDP
289.1679728    53.35126336    20181107    181500    1200    8     TDP
5.634516312    -9.321531083    20181107    220000    1200    3     FDP
16.39530032    33.96231152    20181107    234000    1200    7     TDP
60.37556718    26.71761223    20181107    270000    1200    6     TDP
298.1612744    11.72053194    20181108    181400    1200    3     FDP
313.9396482    42.02281992    20181108    195400    1200    9     TDP
26.77058917    2.694801116    20181108    235310    1200    6     TDP
86.81832134    17.53979113    20181108    264810    1200    3     FDP
88.0049422    -9.529162099    20181108    282810    1200    3     TDP
292.3755554    35.59718383    20181109    181300    1200    8     TDP
8.547961001    13.05061238    20181109    215800    1200    3     FDP
35.62035962    34.04897935    20181109    233800    1200    3     FDP
44.25129375    20.24792441    20181109    251800    1200    7     TDP
98.98674978    -5.698815892    20181109    283800    1200    2     FDP
299.2805704    19.1379398    20181110    181200    1200    7     TDP
341.2478935    26.452397    20181110    213200    1200    8     TDP
38.15403915    22.85295275    20181110    251700    1200    8     TDP
106.6935852    50.54077329    20181110    290200    1200    1     TDP
301.3353753    -4.124195435    20181111    181100    1200    7     TDP
348.6988602    40.03850239    20181111    212923    1200    7     TDP
42.50943267    26.82635151    20181111    244923    1200    7     TDP
82.17312247    -9.459647442    20181111    280127    1200    4     TDP
297.4714047    54.44524364    20181112    181000    1200    8     TDP
12.28134918    26.96556474    20181112    214646    1200    3     FDP
14.8887809    57.59324123    20181112    232646    1200    8     TDP
73.43597459    31.90073209    20181112    271038    1200    3     FDP
106.2660099    22.40135488    20181112    285038    1200    2     TDP
295.3104841    1.925871946    20181113    180900    1200    8     TDP
0.6773896195    31.37023285    20181113    215400    1200    7     TDP
44.0255763    40.76518181    20181113    250553    1200    7     TDP
99.07925177    28.59666158    20181113    282553    1200    3     TDP
306.3556984    43.40043316    20181114    180800    1200    6     TDP
340.4260074    3.560588424    20181114    210300    1200    3     FDP
13.20534151    24.22729589    20181114    224300    1200    7     TDP
58.23523159    47.39632002    20181114    255742    1200    7     TDP
300.4182981    41.87612002    20181115    180700    1200    8     TDP
359.4120912    35.92296707    20181115    214047    1200    3     FDP
13.38359219    23.42741511    20181115    232047    1200    3     FDP
49.28331671    -6.980450244    20181115    250047    1200    7     TDP
98.91743804    -9.643267899    20181115    281254    1200    3     FDP
303.7033337    59.92987234    20181116    180600    1200    7     TDP
353.124012    6.464228682    20181116    212600    1200    7     TDP
36.13444507    28.34832019    20181116    244600    1200    8     TDP
103.2026869    -2.400728179    20181116    283100    1200    3     TDP
